painting,emotion
konstantin-korovin_masquerade-1913,awe
william-shayer_unloading-the-catch,amusement
paul-cezanne_the-rum-punch-1867,sadness
john-singer-sargent_unloading-boats-in-venice-1904,excitement
william-shayer_country-life-1849,contentment
ivan-shishkin_forest-1892,contentment
jean-francois-millet_gathering-apples,contentment
vincent-van-gogh_woman-reeling-yarn-1884-1,contentment
william-turner_norham-castle-on-the-tweed,contentment
salvador-dali_cala-nans,contentment
lucas-cranach-the-elder_portrait-of-katharina-von-bora-1,contentment
vincent-van-gogh_barn-with-moss-covered-roof-1881(1),sadness
john-singer-sargent_nice,contentment
william-adolphe-bouguereau_earrings-1891,contentment
theodore-gericault_colin-alexander-painter,contentment
vincent-van-gogh_wild-roses-1890,contentment
john-singer-sargent_on-the-grand-canal,contentment
nikolay-bogdanov-belsky_nude-model,sadness
winslow-homer_salt-kettle-bermuda,awe
hans-baldung_harmony-or-the-three-graces-1543,amusement
nicolae-darascu_summer-at-balcic,sadness
vasily-perov_arriving-at-an-the-consequence-1857,sadness
nikolay-bogdanov-belsky_cowboy-1,sadness
mary-cassatt_study-for-augusta-reading-to-her-daughter,sadness
lev-lagorio_view-of-ayu-dag-from-alushta,excitement
hans-baldung_altar-of-st-john-the-baptist-1520,excitement
konstantin-korovin_murmansk-coast-1894,disgust
orest-kiprensky_cher-de-angelis-1822,amusement
john-henry-twachtman_spring-landscape-1891,sadness
viktor-vasnetsov_bayan-sketch-1880,awe
victor-borisov-musatov_lady-seated-with-a-tapestry-in-the-background-1903,sadness
pierre-auguste-renoir_nude-in-the-water,sadness
ramon-oviedo_en-la-trayectoria-del-tiempo,fear
isaac-levitan_wooded-riverbank-twilight-1892,disgust
gustave-caillebotte_nasturtiums-1,contentment
theodore-gericault_the-woman-with-gambling-mania-1822,sadness
joaquã­n-sorolla_promenade-by-the-sea-1909,excitement
edgar-degas_three-dancers-in-yellow-skirts,contentment
vasily-vereshchagin_gate-near-the-qutub-minar-old-delhi-1875,awe
konrad-witz_the-synagoge,sadness
william-turner_rye-sussex,awe
konstantin-korovin_posad-berendeys-1914,sadness
pyotr-konchalovsky_lilac-1942,excitement
maxime-lalanne_arreau-vue-de-la-route-du-col-d-aspin,awe
volodymyr-orlovsky_landscape-with-swamp,contentment
thomas-eakins_in-the-studio-unfinished-1884,awe
joaquã­n-sorolla_pulling-the-boat-1916,awe
willard-metcalf_the-white-veil-1909,fear
taras-shevchenko_portrain-of-g-i-zakrevska-1843,contentment
joaquã­n-sorolla_landscapes-of-san-pedro-san-sebastian,disgust
pierre-auguste-renoir_young-woman-seated-on-the-grass,contentment
sir-lawrence-alma-tadema_the-honeymoon-1868,amusement
thomas-eakins_photograph-1910-19,awe
vladimir-dimitrov_harvester-women,excitement
karoly-ferenczy_the-woman-painter-1903,contentment
vincent-van-gogh_landscape-with-the-oise-1890,awe
willard-metcalf_arab-encampment-biskra,awe
thomas-eakins_portraits-4,awe
james-tissot_colonel-frederick-gustavus-barnaby,amusement
philip-de-laszlo_queen-marie-of-romania-1936,awe
william-merritt-chase_a-bit-of-holland-meadows-aka-a-bit-of-green-in-holland,contentment
konstantin-makovsky_nude-woman-in-black-stockins,excitement
thomas-eakins_negro-boy-on-a-bay-horse,sadness
vanessa-bell_conversation-1916,fear
vasily-polenov_the-burnt-forest-1881,fear
john-henry-twachtman_canal-venice,disgust
medi-wechsler-dinu_unknown-title-1,amusement
pierre-auguste-renoir_the-bridge-at-argenteuil-in-autumn-1882,contentment
hans-baldung_three-king-altar,contentment
theodore-rousseau_a-torrent-with-dam-in-auvergne-1830,contentment
paul-cezanne_portrait-of-achille-emperaire-1868,disgust
irma-stern_black-lilies-1941,disgust
edgar-degas_woman-combing-her-hair-in-front-of-a-mirror,contentment
vasily-vereshchagin_church-of-god-of-war-shrine-buddhist-temple,fear
john-singer-sargent_francisco-bernareggi,awe
albrecht-durer_madonna-and-child-1,contentment
pierre-auguste-renoir_landscape-with-trees-1,contentment
nikolay-bogdanov-belsky_spring-rehearsal,amusement
vincent-van-gogh_woman-sien-with-baby-on-her-lap-half-figure-1882,contentment
julian-alden-weir_midday-1891,awe
william-adolphe-bouguereau_lambs-1897,contentment
lucia-demetriade-balacescu_la-gare-de-berk-plage-1933,amusement
vincent-van-gogh_the-plough-and-the-harrow-after-millet-1890,sadness
william-merritt-chase_shinnecock-landscape-03,contentment
vincent-van-gogh_flower-pot-with-asters-1886(1),contentment
pierre-auguste-renoir_the-artist-s-house,contentment
john-singer-sargent_fa-ade-of-a-palazzo-girgente-sicily,contentment
pyotr-konchalovsky_lermontov-1943,contentment
pierre-auguste-renoir_seated-woman-in-a-green-robe,contentment
william-merritt-chase_a-summer-afternon-in-holland-aka-sunlight-and-shadow,contentment
tivadar-kosztka-csontvary_blossoming-almonds-landscape-in-italy-1902,awe
konstantin-korovin_paris-cafe-de-la-paix-1906,contentment
vasily-polenov_montenegrin-1876,contentment
pyotr-konchalovsky_still-life-every-victuals-1944,disgust
vincent-van-gogh_olive-grove-1889,awe
pavel-fedotov_portrait-of-an-architect,awe
theophrastos-triantafyllidis_houses,contentment
konstantinos-volanakis_boats-in-a-port,sadness
john-everett-millais_ferdinand-lured-by-ariel-1850,amusement
odilon-redon_flowers-1905,contentment
micaela-eleutheriade_peisaj-la-balcic-1936,disgust
paul-cezanne_the-gravediggers-1870,sadness
pierre-auguste-renoir_the-judgment-of-paris-1914,excitement
william-merritt-chase_the-song,sadness
theodore-rousseau_long-rock-in-the-forest-of-fontainebleau,contentment
nikolaos-gyzis_wishbone-1878,amusement
pyotr-konchalovsky_rome-column-of-trajan-1924,contentment
thomas-moran_the-juniata-evening-1864,excitement
vanessa-bell_still-life-on-corner-of-a-mantelpiece-1914,contentment
ivan-shishkin_polesye-1883,contentment
hans-memling_diptych-of-jean-de-cellier-detail,contentment
vasily-tropinin_portrait-of-pavel-vasilyev,contentment
sir-lawrence-alma-tadema_the-roman-potter-1884,sadness
pieter-wenning_still-life,awe
john-william-waterhouse_maidens-picking-flowers-by-a-stream,contentment
pierre-bonnard_momisa-1915,contentment
william-turner_the-vale-of-ashburnham,contentment
joaquã­n-sorolla_mending-the-sail-1896,excitement
james-tissot_the-prodigal-son-in-modern-life-the-fatted-calf,contentment
vasily-surikov_soldier-with-gun-1898,fear
karl-bryullov_portrait-of-the-architect-a-bolotov,awe
vincent-van-gogh_torso-of-venus-and-a-landscape-1887,fear
pierre-auguste-renoir_strawberries-1914,contentment
victor-borisov-musatov_two-ladies-1899,excitement
lovis-corinth_self-portrait-1888,contentment
max-liebermann_portrait-of-professor-dr-carl-bernstein-1892,fear
volodymyr-orlovsky_nizhny-novgorod,contentment
walter-sickert_horses-of-st-mark-s-venice-1901,awe
pablo-picasso_young-acrobat-and-clown-1905,disgust
vincent-van-gogh_farmhouse-with-wheat-field-along-a-road-and-field-with-flowers-1888(1),amusement
taras-shevchenko_st-sebastian-1856,sadness
joaquã­n-sorolla_study-of-vineyard,awe
edgar-degas_breakfast-after-bathing,disgust
vincent-van-gogh_cottage-with-decrepit-barn-and-stooping-woman-1885(1),sadness
konstantin-makovsky_coachman,contentment
lovis-corinth_portrait-of-the-painter-fritz-rumpf-1901,contentment
karl-bryullov_portrait-of-catherine-tittoni-1852(1),sadness
samuel-mutzner_trandafiri-la-balcic-1930,contentment
willard-metcalf_september-morning-plainfield-new-hampshire,contentment
rudolf-von-alt_st-mark-s-square-in-venice-with-austrian-military,awe
wassily-kandinsky_winter-landscape-1909,excitement
julius-leblanc-stewart_in-the-park-1882(1),sadness
joseph-wright_the-annual-girandola-at-the-castle-of-st-angelo-rome,fear
pyotr-konchalovsky_still-life-oranges-and-crumpled-paper-1946,contentment
theodor-severin-kittelsen_mama(1),sadness
salvador-dali_the-infant-jesus,amusement
vasily-polenov_mound-1902,contentment
klavdy-lebedev_svyatoslav-s-meeting-with-emperor-john-as-described-by-leo-the-deacon-1916,anger
vincent-van-gogh_still-life-with-red-cabbages-and-onions-1887,contentment
vincent-van-gogh_unfinished-sketch-of-an-interior-with-a-pan-above-the-fire-1881,contentment
john-singer-sargent_ramon-subercaseaux,contentment
jean-alexandru-steriadi_bucure-tiul-vechi-dinspre-sf-spiridon,contentment
gustave-caillebotte_yerres-on-the-pond-water-lilies,amusement
james-mcneill-whistler_nocturne-san-giorgio,disgust
victor-meirelles_vista-do-desterro-1851,awe
orest-kiprensky_self-portrait-1828,contentment
maurice-prendergast_along-the-seine,sadness
laszlo-mednyanszky_fruit-trees,contentment
vincent-van-gogh_two-men-with-a-four-wheeled-wagon-1882,sadness
theophrastos-triantafyllidis_vase-with-flowers,contentment
william-merritt-chase_bank-of-a-lake-in-central-park,excitement
rudolf-von-alt_figures-on-the-riva-degli-schiavone-1840,excitement
vincent-van-gogh_the-cave-of-machpelah-1877,awe
tom-thomson_sunset-1915,fear
albrecht-durer_portrait-of-a-cleric-1516,awe
stefan-luchian_green-coat-1,contentment
hieronymus-bosch_group-of-victims,amusement
ivan-shishkin_forest-path-1863,fear
theo-van-rysselberghe_in-the-shade-of-the-pines-1905,excitement
viktor-vasnetsov_sirin-and-alkonost-the-birds-of-joy-and-sorrow-1896,amusement
pyotr-konchalovsky_portrait-of-pyotr-konchalovsky-the-son-of-the-artist-1921,contentment
zinaida-serebriakova_maria-butakova-nee-evreinova-1931,contentment
taras-shevchenko_all-saints-church-at-kiev-pechersk-lavra-1846,contentment
guy-rose_the-cathedral,awe
pierre-auguste-renoir_madame-gaston-bernheim-de-villers-nee-suzanne-adler,contentment
vasily-surikov_scene-from-the-roman-carnival-1884,fear
albrecht-durer_the-descent-from-the-cross-1511,sadness
eugene-boudin_fishwomen-at-berck,contentment
albrecht-durer_the-castle-at-trento-1495,awe
guy-rose_the-blue-house-1,sadness
konstantin-korovin_paris-at-night-boulevard-des-italiens-1908,excitement
konstantin-korovin_donate-to-victims-of-war-dmitry-donskoy-1914,awe
vincent-van-gogh_four-people-sharing-a-meal-1885(1),fear
ivan-shishkin_forest-5,awe
gustave-caillebotte_landscape-with-haystacks,contentment
vincent-van-gogh_avenue-of-poplars-1884(1),sadness
john-singer-sargent_villa-torlonia-fountain-1907-1,awe
eugene-boudin_elegant-women-on-the-beach-1863,awe
vladimir-makovsky_hunters-at-rest-1887,awe
mykola-yaroshenko_portrait-of-sergey-nikolaevich-amosov,sadness
joaquã­n-sorolla_valencia-street-with-awnings,excitement
albrecht-durer_figure-of-woman-shown-in-motion-1528,awe
sir-lawrence-alma-tadema_unwelcome-confidences-1902,awe
viktor-vasnetsov_the-baptism-of-russia-1896,awe
thomas-eakins_portrait-of-dr-albert-c-getchell-1907,contentment
odilon-redon_vase-of-flowers-9,excitement
spyros-papaloukas_nude-1917,excitement
sir-lawrence-alma-tadema_agrippina-with-the-ashes-of-germanicus,contentment
wassily-kandinsky_all-saints-day-ii-1911,awe
max-liebermann_the-fisherman-1926,contentment
mary-cassatt_peasant-woman-peeling-an-orange,contentment
maxime-maufra_landscape,contentment
valentin-serov_portrait-of-ivan-morozov-1910,amusement
james-ensor_the-bathing-hut-afternoon-july-29-1876-1876,fear
gustave-caillebotte_harvest-landscape-with-five-haystacks,contentment
taras-shevchenko_fire-in-the-steppe-1848,fear
samuel-mutzner_prim-var-la-kyoto-1915,contentment
john-singer-sargent_palace-and-gardens-spain-1912,amusement
martin-schongauer_altar-of-omgeving-1491,awe
thomas-cole_the-voyage-of-life-childhood-1842,awe
lucas-cranach-the-elder_portrait-of-philipp-melanchthon-1543,amusement
odilon-redon_rose-and-daisy,excitement
eugene-boudin_antibes-the-rocks-of-the-islet,contentment
vincent-van-gogh_a-group-of-cottages-1890(1),contentment
paul-cezanne_the-four-seasons-autumn-1861,contentment
vincent-van-gogh_farmhouses-in-loosduinen-near-the-hague-at-twilight-1883(1),sadness
james-tissot_mrs-newton-with-a-child-by-a-pool,contentment
john-singer-sargent_i-gesuati,contentment
pieter-bruegel-the-elder_armed-three-master-with-daedalus-and-icarus-in-the-sky-1562,fear
ilya-repin_what-a-freedom-1903,amusement
ivan-shishkin_covert-1894,contentment
thomas-moran_the-grand-canyon-of-the-yellowstone-1901,awe
pierre-bonnard_night-landscape-1912(1),contentment
zinaida-serebriakova_boulevard-in-paris,sadness
john-singer-sargent_palazzo-labbia-venice,contentment
lucas-cranach-the-elder_portrait-of-a-saxon-prince-1,excitement
albrecht-durer_st-john-devouring-the-book-from-the-apocalypse-1498,fear
joaquã­n-sorolla_portrait-of-clothilde-1891,disgust
mary-cassatt_reine-lefebre-and-margot-before-a-window-1902,contentment
vincent-van-gogh_vase-with-honesty-1884,contentment
joaquã­n-sorolla_resting-bacchante-1887,excitement
pierre-auguste-renoir_after-bathing-nude-study-1910,disgust
william-james-glackens_bowlers-la-ciotat-1930,contentment
eugene-boudin_the-shores-of-sainte-adresse-at-twilight-1890,contentment
william-merritt-chase_sailboat-at-anchor,fear
lucas-cranach-the-elder_portrait-of-a-young-woman-1530,amusement
john-atkinson-grimshaw_the-cradle-song,contentment
pierre-auguste-renoir_landscape-1914,disgust
vincent-van-gogh_sunflowers-1888,excitement
vincent-van-gogh_couple-arm-in-arm-and-other-figures-with-a-windmill-in-the-background-1890(1),contentment
gregoire-boonzaier_landscape-with-trees-and-distant-cottages-1990,amusement
john-henry-twachtman_fishing-boats-at-gloucester,contentment
zinaida-serebriakova_animal-farm-in-the-village-neskuchnoye,awe
james-mcneill-whistler_harmony-in-pink-and-grey-lady-meux-1881,contentment
albrecht-durer_portrait-of-a-man-konrad-peutinger,excitement
eugene-boudin_three-masted-ship-at-dock,awe
james-mcneill-whistler_the-arabian,excitement
mikhail-nesterov_capri-entrance-to-monastery-1908,contentment
taras-shevchenko_turkmen-abas-at-kara-tau-1857,awe
vasile-popescu_table-with-fruits-in-balchik-1938,contentment
karl-bryullov_giuseppina-ronzi-de-begnis-1835(1),awe
vincent-van-gogh_orphan-man-with-top-hat-drinking-coffee-1882,contentment
albrecht-durer_lamentation-for-christ-1503,sadness
edouard-manet_boating-1874,contentment
martin-schongauer_young-woman-fanning-a-fire-with-a-bird-s-wing,disgust
eugene-boudin_cows-in-a-field,awe
stefan-luchian_after-bath-1907,excitement
nikolay-bogdanov-belsky_women-on-the-pond-shore,contentment
orest-kiprensky_portrait-of-the-abbot-skarpellini-1821,amusement
hans-holbein-the-younger_the-plowman,sadness
albrecht-durer_drawing-from-the-tarot-prudence,fear
philip-wilson-steer_portrait-of-miss-scobell-in-a-bathchair-the-convalescent,amusement
volodymyr-orlovsky_landscape-with-mountain-creek,contentment
theo-van-rysselberghe_portrait-of-mme-van-rysselberghe-1907,contentment
rogier-van-der-weyden_madonna-with-the-saints,awe
winston-churchill_woodland-scene-near-mimizan,contentment
konstantin-makovsky_portrait-15,amusement
edmund-charles-tarbell_in-the-orchard-1891,excitement
paul-cezanne_portrait-of-gustave-boyer,contentment
james-mcneill-whistler_scene-on-the-mersey,contentment
julian-alden-weir_nassau-bahamas-1913,contentment
john-henry-twachtman_snow-scene-2,fear
vanessa-bell_the-red-dress-1929,excitement
vasily-vereshchagin_mounted-warrior-in-jaipur,awe
pierre-auguste-renoir_nude-arranging-her-hair-1885,contentment
konstantin-korovin_summer-office-of-prince-vasily-golitsyn-1911,awe
joaquã­n-sorolla_the-nap-asturias-1903,contentment
edgar-degas_before-the-curtain-call-1892,contentment
thomas-cole_view-from-mount-holyoke-1836,fear
hieronymus-bosch_tiptych-of-temptation-of-st-anthony-1506,fear
wilhelm-leibl_in-der-k-che-k-che-in-kutterling-1898,sadness
vincent-van-gogh_head-of-a-peasant-woman-with-white-cap-1885-6,fear
john-henry-twachtman_winter-silence-1900,awe
william-turner_boscastle-cornwall,fear
vasily-surikov_head-of-boyarynya-morozova-study-1886,fear
konstantin-korovin_port-in-marsele,fear
walter-sickert_rowlandson-house-sunset-1912,sadness
hugo-van-der-goes_portinari-triptych-detail-1478,amusement
nikolay-bogdanov-belsky_country-boys-1,awe
orest-kiprensky_portrait-of-m-lansky-1813,awe
konstantin-korovin_after-the-rain-paris-1897,awe
hieronymus-bosch_the-garden-of-earthly-delights-1515-6,amusement
theodor-severin-kittelsen_fra-mitt-vindu-i-schwanthalerstrasse,sadness
nicolae-vermont_at-the-well-1920,awe
matej-sternen_razuzdanost,contentment
vincent-van-gogh_a-field-of-yellow-flowers-1889(1),awe
vasile-popescu_balchik-1938,contentment
istvan-nagy_schoolboy-1932,sadness
rafael-zabaleta_portrait-of-aunt-pepa-1942,amusement
othon-friesz_le-haver-the-port-entrance-1897,contentment
vasily-surikov_cossack-1893,awe
john-singer-sargent_capri-girl-1878,contentment
james-mcneill-whistler_moreby-hall-1884,contentment
vincent-van-gogh_workman-beside-a-mound-of-peat-and-a-peat-boat-with-two-figures-1883,contentment
paul-cezanne_bathers-1877,excitement
vincent-van-gogh_vincent-s-house-1888,amusement
john-singer-sargent_madame-errazuriz-also-known-as-the-lady-in-black,contentment
